dtc_code,description,possible_causes,causes,diagnostic_aids,application
P1900,Output Shaft Speed (OSS) Sensor Circuit Intermittent The OSS sensor signal to the powertrain control module (PCM) is irregular or," Causes:                Harness connector not properly seated",," Aids:    Verify harness and connector integrity."," Key On Engine Off         Key On Engine Running        Continuous Memory"
P1901,Turbine Shaft Speed (TSS) Sensor Circuit Intermittent The TSS sensor signal to the powertrain control module (PCM) is irregular or,"    Harness connector not properly seated","    Harness intermittently shorted or open"," Aids: Verify harness and connector integrity."," Key On Engine Off            Key On Engine Running         Continuous Memory"
P2004,"Intake Manifold Runner Control (IMRC) Stuck Open (Bank 1) This DTC is set when the IMRC is commanded closed, but the IMRC monitor indicates This DTC is set when the IMRC is commanded closed, but the IMRC monitor indicates","    IMRC monitor signal circuit shorted to PWR GND or SIG RTN    IMRC monitor signal circuit shorted to PWR GND or SIG RTN","    Damaged IMRC actuator or solenoid    Damaged IMRC actuator or solenoid"," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed. An IMRCM PID reading near approximately 1 volt at closed throttle may indicate a fault. "," Key On Engine Off              Key On Engine Running          Continuous Memory Key On Engine Off      Key On Engine Running            Continuous Memory"
P2006,"Intake Manifold Runner Control (IMRC) Stuck Closed (Bank 1) This DTC is set when the IMRC is commanded open, but the IMRC monitor indicates","     IMRC monitor circuit open","     IMRC control circuit open"," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed."," Key On Engine Off         Key On Engine Running            Continuous Memory"
P2007,"Intake Manifold Runner Control (IMRC) Stuck Closed (Bank 2) This DTC is set when the IMRC is commanded open, but the IMRC monitor indicates","    IMRC monitor circuit open","    IMRC control circuit open"," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed."," Key On Engine Off          Key On Engine Running            Continuous Memory"
P2008,Intake Manifold Runner Control (IMRC) Circuit Open (Bank 1) This DTC indicates a failure in the IMRC primary control circuit. This DTC replaces,"    IMRC control circuit open"," "," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed."," Key On Engine Off          Key On Engine Running            Continuous Memory"
P2014,Intake Manifold Runner Position Sensor/Switch Circuit (Bank 1) The intake manifold runner control (IMRC) system is monitored for failure during continuous,"     IMRC monitor circuit open","     Mechanical concern - bind, seize, damage or obstruction of IMRC hardware"," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed."," Key On Engine Off         Key On Engine Running              Continuous Memory"
P2015,Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance (Bank 1) The intake manifold runner control (IMRC) system is monitored for failures. Each DTC,"     Mechanical concern - bind, seize, damage, or obstruction of IMRC hardware"," ","  "," Key On Engine Off       Key On Engine Running            Continuous Memory"
P2019,Intake Manifold Runner Position Sensor/Switch Circuit (Bank 2) The intake manifold runner control (IMRC) system is monitored for failure during continuous,"     IMRC monitor circuit open","     Mechanical concern - bind, seize, damage or obstruction of IMRC hardware"," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed."," Key On Engine Off        Key On Engine Running            Continuous Memory"
P2020,Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance See the description for DTC P2015.," Causes: See the possible causes for DTC P2015.",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P2065,Fuel Level Sensor B Circuit Fuel level information is sent to the powertrain control module (PCM) on the,"     Communication link concern","     Damaged instrument cluster"," Refer to the Workshop Manual Section 413-01, Instrument Cluster for fuel level indicator diagnosis."," Key On Engine Off           Key On Engine Running            Continuous Memory"
P2066,Fuel Level Sensor B Circuit Range/Performance See the description for DTC P2065.," See the possible causes for DTC P2065."," "," See the diagnostic aids for DTC P2065. "," Key On Engine Off           Key On Engine Running            Continuous Memory"
P2067,Fuel Level Sensor B Circuit Low See the description for DTC P2065.," See the possible causes for DTC P2065."," "," See the diagnostic aids for DTC P2065. "," Key On Engine Off           Key On Engine Running            Continuous Memory"
P2068,Fuel Level Sensor B Circuit High," See the possible causes for DTC P2065."," "," See the diagnostic aids for DTC P2065. "," Key On Engine Off        Key On Engine Running            Continuous Memory"
P2070,"Intake Manifold Tuning Valve (IMTV) Stuck Open Bank 1 The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or","    IMTV signal circuit shorted to PWR GND or SIG RTN","    Damaged IMRC actuator"," An IMTVM PID reading may indicate a fault. "," Key On Engine Off        Key On Engine Running             Continuous Memory"
P2071,"Intake Manifold Tuning Valve (IMTV) Stuck Closed Bank 1 The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or This DTC only identifies that the strategy has carried out several open and close cycles to","    IMTV signal circuit shorted to PWR GND or SIG RTN    Ice or oil in the intake air system could be the result of a positive crankcase Causes and Diagnostic Aids for the DTC.","    Damaged IMRC actuator ventilation (PCV) system concern"," An IMTVM PID reading may indicate a fault.  Check the PCV system for evidence of water or ice. Disconnect the intake air fresh air plenum from the throttle body. Check for water or oily residue at the PCV fresh air port."," Key On Engine Off        Key On Engine Running             Continuous Memory Key On Engine Off         Key On Engine Running               Continuous Memory"
P2100,"Throttle Actuator Control (TAC) Motor Circuit/Open A powertrain control module (PCM) fault flag is set indicating the motor circuit is open. A powertrain control module (PCM) fault flag is set indicating the motor circuit is open,","    TAC motor has an open winding    TAC motor circuits are cross-wired","    TAC motor is damaged "," A TAC motor circuit PID reading may indicate a concern, if available.  A TAC motor circuit PID reading may indicate a concern, if available. "," Key On Engine Off          Key On Engine Running             Continuous Memory Key On Engine Off          Key On Engine Running             Continuous Memory"
P2104,Throttle Actuator Control (TAC) System - Forced Idle The TAC system is in the failure mode effects management (FMEM) mode of forced idle.," "," "," This DTC is an informational DTC and may be set in combination with a number of other DTCs which are causing the FMEM. Diagnose other DTCs first."," Key On Engine Off          Key On Engine Running              Continuous Memory"
P2105,Throttle Actuator Control (TAC) System - Forced Engine Shutdown The TAC system is in the failure mode effects management (FMEM) mode of forced," "," "," This DTC is an informational DTC and may be set in combination with a number of other DTCs which are causing the FMEM. Diagnose other DTCs first."," Key On Engine Off          Key On Engine Running              Continuous Memory"
P2106,Throttle Actuator Control (TAC) System - Forced Limited Power," "," "," This DTC is an informational DTC and may be set in combination with a number of other DTCs which are causing the FMEM. Diagnose other DTCs first. Do not install a new"," Key On Engine Off          Key On Engine Running             Continuous Memory"
P2107,Throttle Actuator Control (TAC) Module Processor The electronic throttle control (ETC) area of the powertrain control module (PCM) failed the,"     TAC motor wire shorted together","     TAC motor circuit wires short to PWR"," A TAC motor circuit PID reading may indicate a concern, if available. "," Key On Engine Off       Key On Engine Running             Continuous Memory"
P2110,Throttle Actuator Control (TAC) System - Forced Limited RPM The TAC system is in the failure mode effects management (FMEM) mode of forced This powertrain control module (PCM) fault status indicates the throttle plate is at a,"     Binding throttle body, stuck open","     TAC motor circuits are cross-wired"," This DTC is an informational DTC and may be set in combination with a number of other DTCs which are causing the FMEM. Diagnose other DTCs first.  "," Key On Engine Off        Key On Engine Running             Continuous Memory Key On Engine Off           Key On Engine Running          Continuous Memory"
P2112,Throttle Actuator Control (TAC) System - Stuck Closed This powertrain control module (PCM) fault status indicates the throttle plate is at a lower,"    Binding throttle body, stuck closed","    Damaged PCM","  "," Key On Engine Off           Key On Engine Running          Continuous Memory"
P2121,Throttle/Pedal Position Sensor/Switch D Circuit Range/Performance The accelerator pedal position (APP) sensor fault flag is set for sensor 1 by the powertrain,"    APP sensor 1 is open, or short to ground or voltage","    APP sensor signal circuits are short together"," An APP1 sensor PID reading may indicate a concern. "," Key On Engine Off          Key On Engine Running             Continuous Memory"
P2122,Throttle/Pedal Position Sensor/Switch D Circuit Low The accelerator pedal position (APP) sensor 1 is out of self-test range low.," Causes:           APP sensor harness short to ground",," Aids: An APP1 sensor PID reading may indicate a concern."," Key On Engine Off Key On Engine Running Continuous Memory"
P2123,Throttle/Pedal Position Sensor/Switch D Circuit High The accelerator pedal position (APP) sensor 1 is out of self-test range high.," Causes:           APP sensor harness open",," Aids: An APP1 sensor PID reading may indicate a concern."," Key On Engine Off    Key On Engine Running        Continuous Memory"
P2126,Throttle/Pedal Position Sensor/Switch E Circuit Range/Performance The accelerator pedal position (APP) sensor fault flag is set for sensor 2 by the powertrain,"    APP sensor assembly is binding","    Damaged APP sensor"," An APP2 sensor PID reading may indicate a concern. "," Key On Engine Off          Key On Engine Running             Continuous Memory"
P2127,Throttle/Pedal Position Sensor/Switch E Circuit Low The accelerator pedal position (APP) sensor 2 is out of self-test range low.," Causes:           APP sensor circuit is short to ground",," Aids: An APP2 sensor PID reading may indicate a concern."," Key On Engine Off Key On Engine Running Continuous Memory"
P2128,Throttle/Pedal Position Sensor/Switch E Circuit High The accelerator pedal position (APP) sensor 2 is out of self-test range high.," Causes:           APP sensor assembly is binding",," Aids: An APP2 sensor PID reading may indicate a concern."," Key On Engine Off      Key On Engine Running       Continuous Memory"
P2131,Throttle/Pedal Position Sensor/Switch F Circuit Range/Performance The accelerator pedal position (APP) sensor fault flag is set for sensor 3 by the powertrain The accelerator pedal position (APP) sensor 3 is out of self-test range low.,"    APP sensor assembly is binding Causes:           APP sensor assembly is binding","    Damaged APP sensor"," An APP3 sensor PID reading may indicate a concern.  Aids: An APP3 sensor PID reading may indicate a concern."," Key On Engine Off            Key On Engine Running           Continuous Memory Key On Engine Off Key On Engine Running Continuous Memory"
P2133,Throttle/Pedal Position Sensor/Switch F Circuit High The accelerator pedal position (APP) sensor 3 is out of self-test range high.," Causes:           APP sensor assembly is binding",," Aids: An APP3 sensor PID reading may indicate a concern."," Key On Engine Off     Key On Engine Running       Continuous Memory"
P2135,Throttle/Pedal Position Sensor/Switch A/B Voltage Correlation The powertrain control module (PCM) flagged a concern indicating that throttle position,"    TP sensor shorted internally to VREF","    TP sensor harness is short to voltage"," Compare the TP1 and TP2 PID values for a full sweep and correlation. Refer to the chart in pinpoint test DV. GO to Pinpoint Test DV ."," Key On Engine Off           Key On Engine Running             Continuous Memory"
P2195,"O2 Sensor Signal Biased/Stuck Lean - Bank 1, Sensor 1 A heated oxygen sensor (HO2S) indicating lean at the end of a test is trying to correct for"," Electrical:"," ","  "," Key On Engine Off         Key On Engine Running              Continuous Memory"
P2196,"O2 Sensor Signal Biased/Stuck Rich - Bank 1, Sensor 1 A heated oxygen sensor (HO2S) indicating rich at the end of a test is trying to correct for"," See the possible causes for DTC P2195."," ","  "," Key On Engine Off       Key On Engine Running              Continuous Memory"
P2197,"O2 Sensor Signal Biased/Stuck Lean - Bank 2, Sensor 1 See the description for DTC P2195."," Causes: See the possible causes for DTC P2195.",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P2198,"O2 Sensor Signal Biased/Stuck Rich - Bank 2, Sensor 1 See the description for DTC P2196."," Causes: See the possible causes for DTC P2195.",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P2257,"Secondary Air Injection (AIR) System Control A Circuit Low The AIR system monitor circuit is low, indicating the secondary AIR pump is off although","     Open B+ circuit","     Open VPWR circuit"," The AIR monitor circuit PCM input contains a pull up voltage through a resistance internal to the PCM. This voltage is normally held low by the resistance path through the"," Key On Engine Off       Key On Engine Running            Continuous Memory"
P2258,"Secondary Air Injection (AIR) System Control A Circuit High The AIR system monitor circuit is high, indicating the secondary AIR pump is on although","     AIR relay fault - stuck closed","     Secondary AIR pump fault - circuit open in motor"," The AIR monitor circuit PCM input contains a pull up voltage through a resistance internal to the PCM. This voltage is normally held low by the resistance path through the"," Key On Engine Off       Key On Engine Running            Continuous Memory"
P2270,"O2 Sensor Signal Stuck Lean - Bank 1, Sensor 2","    Pinched, shorted, and corroded wiring and pins","    Crossed HO2S wires","  "," Key On Engine Off         Key On Engine Running               Continuous Memory"
P2271,"O2 Sensor Signal Stuck Rich - Bank 1, Sensor 2 See the description for DTC P2270."," Causes: See the possible causes for DTC P2270.",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P2272,"O2 Sensor Signal Stuck Lean - Bank 2, Sensor 2 See the description for DTC P2270."," Causes: See the possible causes for DTC P2270.",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P2273,"O2 Sensor Signal Stuck Rich - Bank 2, Sensor 2 See the description for DTC P2270."," Causes: See the possible causes for DTC P2270.",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P2274,"O2 Sensor Signal Stuck Lean - Bank 1, Sensor 3 See the description for DTC P2270."," Causes: See the possible causes for DTC P2270.",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P2275,"O2 Sensor Signal Stuck Rich - Bank 1, Sensor 3 See the description for DTC P2270."," Causes: See the possible causes for DTC P2270.",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P2448,"Secondary Air Injection System High Airflow (Bank 1) The secondary AIR system detects excessive mass air flow change with the pump ON This DTC sets when a concern is detected internal to the powertrain control module ","    Secondary AIR outlet hose leak.     Module communications network concerns ","    Secondary AIR outlet hose is disconnected.     PCM calibration level "," Measured air flow is less than expected. Visually inspect the secondary AIR inlet hose.  Verify the PCM is at the latest calibration level. Reprogram if necessary.   "," Key On Engine Off         Key On Engine Running            Continuous Memory Key On Engine Off       Key On Engine Running              Continuous Memory Key On Engine Off       Key On Engine Running              Continuous Memory"
U0101,Lost Communication With Transaxle Control Module (TCM) The powertrain control module (PCM) continuously monitors the controller area network,"     Damaged CAN communication bus circuit"," "," Network DTC concerns occur during module-to-module communication. For additional description and operation of the vehicle communication network, refer to the Workshop"," Key On Engine Off       Key On Engine Running              Continuous Memory"
U0121,Lost Communication With The Anti-lock Brake System (ABS) Control Module The powertrain control module (PCM) continuously monitors the controller area network,"        Damaged CAN communication bus circuit"," "," Network DTC concerns occur during module-to-module communication. For additional description and operation of the vehicle communication network, refer to the Workshop"," Key On Engine Off          Key On Engine Running          Continuous Memory"
U0155,Lost Communication With Instrument Panel Cluster Control Module Missing message concerns are logged by a module upon failure to receive a message,"     Open VPWR circuit to the sending module","     Open GND circuit to the sending module"," Carry out the diagnostics for the associated network module. "," Key On Engine Off           Key On Engine Running          Continuous Memory"
U0300,Internal Control Module Software Incompatibility This DTC indicates that there are incompatible software levels within the powertrain control," "," "," Verify the PCM is at the latest calibration level. "," Key On Engine Off          Key On Engine Running            Continuous Memory"
U1039,SCP (J1850) Invalid or Missing Data for Vehicle Speed  Powertrain related DTC from another module.," Network DTC(s) occur during module-to-module communication concerns. Two types of "," network concerns can be categorized: "," Carry out the on-board diagnostics for the associated network module. For additional information concerning the description and operation of the vehicle communication Trouble Code (DTC)  "," Key On Engine Off         Key On Engine Running           Continuous Memory Key On Engine Off            Key On Engine Running           Continuous Memory"
